,Filnavne,Startsidenummer,Antal sider,Start spaltenummer,Slut spaltenummer,Bind,Titel,Udgivelsesår,Skrevet/fremsat dato
https://grundlov.dab.dk/,,,,,,,,,
Forarbejder til grundloven,,,,,,,,,
,g01_<sidenr.>_grundlov1,1,774,1,1476,Bind I,Beretning om Forhandlingerne paa Rigsdagen. Bind I. Spalte 1-1476,1848-1849,
,g02_<sidenr.>_grundlov2,1,1251,1477,3968,Bind II,Beretning om Forhandlingerne paa Rigsdagen. Bind II. Spalte 1477-3968,1849,
https://retsplejelov.dab.dk/,,,,,,,,,
"Retsplejeloven, proceskommissionerne",,,,,,,,,
,r01_<sidenr.>_proceskom_1868,1,386,0,386,,Proceskommissionen af 1868. Offentliggjort 1875,1875,1875-03
,r02_<sidenr.>_proceskom_1868_1,1,134,0,131,,Proceskommissionen af 1868. Offentliggjort 1876,1876,1876-02
,r03_<sidenr.>_retspleje_1877_14,,485,,,,Proceskommissionen af 1868. Offentliggjort 1877,1877,1877-06
,r04_<sidenr.>_procescom_1892,,286,,,,Proceskommissionen af 1892. Offentliggjort 1899,1899,
,r05_<sidenr.>_retspleje_1899_14,,,,,,Proceskommissionen af 1892. Offentliggjort 1899,1899,
,r06_<sidenr.>_proceskom_1892_1,,,,,,Proceskommissionen af 1892. Offentliggjort 1899,1899,
,r07_<sidenr.>_proceskom_1892_4,,,,,,Retspleje-Reformen. En Oversigt. Offentliggjort 1901,1901,
"Retsplejeloven, Rigsdagstidende",,,,,,,,,
,r08_<sidenr.>_rigsdagtid_a_1880_81,,,,,,1880-81: Lovforslag,1880,1880-12-17
,r09_<sidenr.>_rigsdagtid_a_1901_02,,,,,,1901-02: Lovforslag,,1901-10-26
,r10_<sidenr.>_rigsdagtid_b_1901_02,,,,,,1901-02: Bemærkninger til lovforslag,1901,
,r11_<sidenr.>_rigsdagtid_b1_1901_02,,,,,,1901-02: Betænkning (Folketinget),,1902-05-14
,r12_<sidenr.>_rigsdagtid_b2_1901_02,,,,,,1901-02: Tillæg til betænkning (Folketinget),,1902-05-17
,r13_<sidenr.>_rigsdagtid_a_1902_03,,,,,,1902-03: Lovforslag,,1902-10-07
,r14_<sidenr.>_rigsdagtid_b1_1902_03,,,,,,1902-03: Betænkning (Folketinget),,1902-11-06
,r15_<sidenr.>_rigsdagtid_b2_1902_03,,,,,,1902-03: Betænkning,,1903-05-11
,r16_<sidenr.>_rigsdagtid_a_1905_06,,,,,,1905-06: Lovforslag,1905,1905-10-03
,r17_<sidenr.>_rigsdagtid_b_1905_06,,,,,,1905-06: Beretning fra Fællesudvalget,,1906-04-05
,r18_<sidenr.>_rigsdagtid_1906_07,,,,,,1906-07: Lovforslag,,1906-12-14
,r19_<sidenr.>_rigsdagtid_1908_09,,,,,,1908-09: Lovforslag,,1908-10-23
,r20_<sidenr.>_rigsdagtid_b1_1908_09,,,,,,1908-09: Betænkning (Folketinget),,1909-02-05
,r21_<sidenr.>_rigsdagtid_b2_1908_09,,,,,,1908-09: Erklæring (Folketinget),,1909-03-23
,r22_<sidenr.>_rigsdagtid_a_1912_13,,,,,,1912-13: Lovforslag,,1912-12-10
,r23_<sidenr.>_rigsdagtid_b_1912_13,,,,,,1912-13: Betænkning (Folketinget),,1913-04-24
,r24_<sidenr.>_rigsdagtid_1913_14,,,,,,1913-14: Lovforslag,,1914-01-26
,r25_<sidenr.>_rigsdagtid_b1_1913_14,,,,,,1913-14: Betænkning (Folketinget),,1914-03-31
,r26_<sidenr.>_rigsdagtid_b_1913_14,,,,,,1913-14: Betænkning (Landstinget),,1914-05-29
,r27_<sidenr.>_rigsdagtid_a_1915_16,,,,,,1915-16: Lovforslag,1915-1916,1915-12-01
,r28_<sidenr.>_rigsdagtid_b1_1915_16,,,,,,1915-16: Betænkning (Folketinget),,1916-02-17
,r29_<sidenr.>_rigsdagtid_b2_1915_16,,,,,,1915-16: Betænkning (Landstinget),1915-1916,1916-03-30
"Retsplejeloven, Lovtidende",,,,,,,,,
,r30_<sidenr.>_lovtid_1909,,,,,,1909: Lov,1909-04-10,1909-03-26
,r31_<sidenr.>_rigsdagtid_a_1916,,,,,,1916: Lov,1916-04-15,1916-04-11
